shot_id;user_id;created_at
37;11;2023-12-15
68;34;2023-06-30
350;15;2025-08-13
382;24;2023-08-29
16;16;2025-01-21
144;50;2023-04-20
498;36;2023-06-02
92;18;2025-12-15
229;15;2025-03-04
156;50;2025-10-02
426;14;2023-03-17
11;46;2026-04-05
11;4;2023-06-12
264;26;2025-03-09
202;40;2026-09-06
152;36;2026-02-27
49;35;2025-12-17
266;23;2026-10-09
327;49;2026-01-08
40;25;2024-09-13
115;35;2024-02-22
242;17;2023-10-26
374;5;2025-01-18
454;32;2023-04-17
475;42;2023-05-11
454;12;2026-05-31
121;6;2023-12-26
153;45;2023-04-05
233;50;2024-05-12
375;33;2024-12-30
461;49;2025-08-16
208;17;2024-03-04
413;44;2025-07-28
352;28;2025-08-14
23;9;2025-08-22
482;3;2026-02-27
120;35;2023-03-20
265;42;2025-07-13
71;29;2024-07-27
484;1;2025-09-16
486;5;2024-07-24
350;25;2024-07-27
304;21;2025-08-02
494;11;2026-11-01
271;18;2024-12-31
367;36;2024-04-16
17;15;2026-03-15
184;50;2026-01-24
361;48;2026-07-09
499;33;2024-04-14
446;41;2023-05-08
362;46;2025-05-01
463;25;2024-08-09
292;26;2023-06-04
53;5;2023-01-10
490;20;2023-01-31
352;5;2024-03-22
379;10;2024-02-23
171;40;2024-11-10
278;41;2023-09-18
457;12;2025-05-11
446;9;2024-05-05
454;37;2023-10-07
263;30;2025-12-06
22;3;2026-05-31
52;38;2025-05-13
180;10;2025-01-22
381;40;2025-10-20
368;17;2026-10-04
142;22;2025-09-19
377;37;2023-05-28
102;23;2024-11-30
385;12;2024-10-04
175;27;2024-03-07
263;31;2024-05-16
307;15;2024-09-27
311;12;2026-08-30
165;11;2026-04-14
47;44;2023-10-02
391;44;2023-09-13
110;12;2024-09-27
221;14;2024-08-21
345;33;2024-04-01
330;42;2025-12-11
52;21;2026-10-05
258;24;2024-10-17
31;9;2024-08-24
308;6;2023-09-18
468;6;2025-10-06
211;13;2025-12-24
34;22;2026-07-03
164;9;2026-09-09
21;41;2023-11-05
286;23;2024-02-05
235;30;2024-03-15
284;43;2023-12-10
241;37;2026-01-15
135;13;2025-07-28
265;24;2025-04-13
400;36;2023-07-23
302;10;2025-04-26
256;12;2025-08-19
433;15;2025-05-07
420;28;2026-03-29
153;5;2024-10-26
135;2;2024-12-27
410;9;2024-12-03
341;2;2023-12-31
459;38;2024-12-20
496;35;2024-05-23
358;35;2025-11-20
216;29;2026-09-18
273;25;2026-02-28
323;48;2024-09-23
331;45;2026-08-17
219;18;2023-02-15
138;16;2026-08-12
51;19;2026-08-26
277;8;2023-06-10
424;8;2023-08-07
63;1;2024-07-25
250;15;2024-01-03
168;5;2023-08-25
437;37;2023-02-27
31;48;2024-12-15
259;27;2025-08-02
203;46;2023-10-07
38;48;2023-05-09
143;18;2026-02-08
319;33;2026-07-05
327;36;2024-08-21
359;3;2025-11-29
390;49;2025-10-20
71;10;2025-04-25
318;34;2026-10-21
257;19;2024-07-02
270;37;2024-03-20
469;25;2025-09-08
73;23;2024-04-30
300;50;2026-04-23
197;48;2026-01-24
202;41;2026-11-21
49;6;2024-11-25
212;14;2023-09-07
199;21;2023-01-31
364;24;2025-08-03
310;40;2024-06-29
204;27;2023-01-24
389;38;2025-06-01
184;23;2023-10-15
95;41;2025-02-24
225;48;2024-06-27
315;9;2026-05-21
89;23;2024-12-30
464;23;2025-07-13
244;15;2025-10-08
58;15;2026-02-01
229;28;2023-01-26
315;33;2023-01-18
23;42;2025-09-15
148;5;2025-10-10
285;7;2023-01-27
226;4;2023-04-04
82;29;2023-05-01
77;19;2023-01-26
329;44;2026-09-06
32;37;2023-03-07
188;43;2026-10-20
350;10;2023-03-24
185;1;2024-09-19
212;12;2026-04-23
153;30;2026-06-15
325;10;2023-11-10
473;34;2023-07-13
366;50;2023-06-18
403;7;2023-12-26
238;45;2024-07-10
30;18;2025-04-23
473;33;2024-11-12
214;3;2026-06-05
77;38;2024-03-16
271;47;2024-10-19
238;4;2026-10-07
192;38;2026-01-09
231;33;2025-02-15
270;1;2023-11-17
8;31;2025-11-25
43;48;2024-05-03
27;33;2023-07-02
96;34;2025-09-15
218;1;2023-08-17
101;28;2026-11-02
90;47;2024-05-24
409;15;2023-08-21
51;5;2026-07-23
99;3;2025-12-22
298;20;2023-01-20
123;42;2023-01-06
25;43;2026-08-22
332;16;2024-10-04
175;48;2024-02-22
280;8;2026-09-09
102;10;2025-06-19
100;38;2026-11-29
455;45;2024-01-03
126;11;2024-11-14
106;22;2025-01-08
178;27;2023-12-26
435;19;2023-06-15
258;19;2025-12-13
201;33;2023-11-13
255;6;2025-05-29
156;29;2024-03-31
15;24;2024-01-08
470;35;2023-12-05
156;42;2025-06-13
175;13;2023-08-31
314;23;2023-10-08
405;23;2023-02-09
116;44;2026-01-25
111;17;2026-10-04
464;10;2025-06-03
423;12;2023-04-22
161;5;2024-02-04
458;15;2025-02-01
260;37;2026-01-23
281;27;2024-01-11
21;3;2026-08-20
2;48;2023-12-17
384;6;2024-12-09
399;22;2025-03-20
257;22;2023-08-02
180;25;2025-10-08
388;42;2024-04-12
238;15;2025-08-14
384;37;2023-05-23
220;39;2023-12-27
204;31;2023-09-10
335;19;2025-01-13
243;17;2025-09-25
197;31;2025-03-18
363;31;2026-12-24
235;32;2024-10-27
309;26;2024-05-28
194;4;2024-06-14
132;30;2024-09-23
318;2;2026-10-18
265;6;2026-05-31
485;12;2024-11-27
421;48;2026-10-25
13;4;2026-01-24
121;7;2023-05-04
14;15;2023-01-30
35;15;2023-05-27
107;48;2026-10-16
434;1;2024-02-24
423;2;2023-10-04
325;44;2023-10-25
435;17;2024-07-08
12;49;2026-03-20
265;31;2025-12-27
192;39;2023-07-29
442;37;2024-03-16
420;8;2024-09-11
161;11;2024-11-28
374;8;2024-09-26
311;43;2023-01-24
316;31;2024-07-25
339;25;2026-11-09
275;40;2026-09-12
421;45;2024-02-16
144;44;2023-02-03
69;9;2023-12-27
19;42;2023-08-05
216;26;2023-02-06
377;23;2026-11-22
424;49;2025-09-28
280;28;2025-06-24
3;28;2024-11-28
308;36;2024-06-20
346;34;2024-10-12
45;6;2025-09-10
166;10;2023-10-21
234;5;2026-11-03
222;5;2025-09-08
305;41;2025-01-15
118;47;2026-04-06
417;15;2026-05-17
255;32;2025-10-25
14;23;2024-09-28
24;28;2026-02-13
171;34;2025-07-13
417;47;2023-02-14
225;9;2025-04-29
80;20;2025-12-01
499;3;2024-08-03
498;48;2025-12-05
11;41;2023-03-15
398;50;2025-11-17
65;21;2025-06-10
272;38;2024-12-21
455;24;2025-12-16
483;20;2026-03-10
345;41;2024-08-17
431;34;2025-05-06
95;12;2025-04-30
67;28;2025-08-26
136;49;2025-11-10
12;26;2023-07-22
196;14;2026-09-03
150;45;2023-02-24
136;40;2026-12-09
49;17;2026-09-16
405;8;2024-01-02
438;17;2025-05-31
118;36;2025-08-02
154;35;2024-12-10
409;33;2025-11-12
414;8;2024-02-06
109;33;2025-05-02
363;50;2026-07-09
410;33;2024-04-03
459;32;2026-01-17
3;50;2025-11-06
257;12;2024-07-13
355;32;2024-07-02
205;17;2024-05-05
23;12;2024-08-13
457;28;2023-02-14
3;30;2023-08-15
437;27;2023-09-30
467;46;2026-05-30
104;46;2024-10-12
183;22;2023-04-10
62;36;2024-06-27
95;2;2026-01-29
440;33;2023-05-21
431;10;2023-06-28
25;31;2024-05-22
270;12;2023-07-12
226;45;2025-02-21
455;28;2026-03-26
493;28;2023-06-10
187;31;2026-12-08
377;44;2024-09-06
176;30;2025-10-25
103;12;2026-06-20
92;38;2026-01-23
55;32;2024-06-10
86;2;2025-03-20
491;43;2025-02-03
378;11;2026-09-18
424;34;2024-12-29
312;4;2024-04-05
485;29;2024-08-30
199;5;2025-01-02
386;39;2025-04-05
15;14;2026-06-13
421;11;2023-11-10
9;47;2024-12-25
264;9;2025-09-22
225;17;2025-10-22
490;49;2024-10-23
64;16;2025-03-10
372;27;2024-06-15
379;31;2024-01-13
454;39;2026-07-14
166;50;2026-06-20
423;32;2025-10-20
356;40;2023-09-30
92;12;2025-05-18
173;22;2026-11-24
78;15;2024-11-09
354;37;2025-05-30
233;11;2024-04-02
305;42;2026-10-01
462;42;2026-08-08
59;29;2025-09-11
309;44;2023-10-24
356;3;2024-08-05
383;50;2025-02-07
54;37;2025-06-29
136;31;2026-06-01
271;33;2026-07-13
333;42;2024-09-22
5;39;2026-04-06
382;23;2025-01-28
90;34;2024-05-23
101;15;2024-01-27
406;36;2023-12-13
439;28;2023-07-29
201;36;2023-09-30
13;45;2025-03-11
369;12;2025-06-19
493;36;2026-06-18
142;2;2023-07-26
489;20;2025-05-07
307;22;2025-10-14
435;33;2024-08-07
327;37;2025-10-16
136;6;2023-06-08
286;21;2025-05-22
371;30;2024-03-04
86;30;2024-03-11
450;31;2023-06-21
125;30;2026-12-26
135;1;2026-04-03
39;33;2024-05-31
159;26;2025-07-21
5;18;2025-10-01
8;27;2023-07-03
162;39;2025-01-15
495;38;2024-03-24
231;31;2026-09-27
310;25;2026-05-11
29;25;2025-01-16
262;13;2024-09-18
171;32;2023-05-26
214;21;2026-08-05
359;5;2024-02-06
320;50;2026-04-21
319;22;2023-01-19
243;23;2026-04-25
413;45;2023-08-03
462;2;2024-09-04
314;19;2023-07-20
292;48;2026-07-01
429;17;2023-12-14
34;1;2023-04-22
359;35;2026-02-03
18;5;2023-03-14
267;44;2025-03-11
189;16;2025-04-28
280;44;2023-03-31
187;8;2023-02-03
326;25;2023-02-21
348;18;2024-04-16
303;5;2024-02-25
357;4;2024-09-01
497;3;2025-11-08
484;10;2024-11-25
473;20;2023-09-11
293;3;2025-12-24
346;47;2023-09-02
302;38;2026-12-18
227;20;2024-12-31
391;15;2026-08-20
333;31;2024-11-29
453;7;2025-04-10
152;6;2023-05-30
252;42;2026-07-03
344;34;2024-06-03
211;28;2024-01-24
36;7;2023-07-22
409;27;2024-09-04
414;49;2026-09-03
497;42;2024-02-13
65;40;2024-08-27
249;32;2026-08-01
352;45;2024-12-07
155;26;2025-06-19
141;22;2023-09-14
252;37;2025-06-05
385;3;2023-01-08
419;40;2024-05-12
392;25;2025-01-23
377;47;2023-03-14
47;28;2024-08-13
401;3;2023-08-12
364;18;2023-12-19
24;26;2025-10-25
83;18;2024-06-27
214;11;2026-06-13
466;41;2023-10-01
414;27;2024-10-19
100;14;2026-03-03
38;49;2025-02-19
260;5;2023-04-16
68;38;2024-10-27
311;42;2026-03-13
206;8;2023-06-08
491;16;2023-02-27
462;21;2026-12-13
253;46;2024-03-10
364;21;2024-09-22
30;24;2023-08-12
484;9;2023-08-21
120;12;2025-08-01
414;22;2025-05-15
167;46;2025-08-27
220;25;2025-08-31
116;50;2023-03-01
87;17;2025-08-11
7;13;2026-09-23
238;28;2026-07-01
43;39;2026-10-20
166;18;2024-12-29
346;44;2026-07-16
82;3;2026-07-26
309;39;2023-05-01
198;23;2024-07-05
51;27;2024-07-03
355;20;2023-11-24
338;44;2025-07-25
418;46;2024-10-19
453;40;2024-02-08
258;18;2026-10-16
164;21;2024-10-02
264;40;2024-08-11
260;11;2025-12-27
344;24;2023-10-30
168;30;2023-08-02
367;10;2025-12-29
266;21;2023-11-29
403;16;2024-07-30
253;41;2026-07-15
224;26;2024-10-30
347;20;2026-11-27
450;39;2026-04-30
92;39;2026-02-18
50;28;2024-01-13
177;21;2024-10-31
442;24;2024-04-22
279;4;2024-06-08
43;20;2026-08-19
246;22;2024-10-26
304;43;2024-04-26
32;30;2026-10-31
354;12;2023-02-28
60;11;2024-05-25
185;12;2023-02-11
22;9;2025-04-02
361;6;2024-08-04
60;40;2024-01-30
47;17;2025-08-16
253;13;2024-03-26
85;35;2026-02-02
399;15;2023-08-11
486;48;2025-10-14
77;28;2023-09-13
234;18;2025-09-06
255;1;2025-08-28
248;24;2024-11-04
6;46;2023-09-22
474;43;2025-01-24
143;45;2026-12-07
114;38;2023-04-18
331;39;2024-10-03
114;45;2024-08-20
405;16;2026-10-12
386;49;2025-01-22
472;5;2023-12-22
461;29;2023-12-18
76;4;2025-03-24
481;12;2024-11-20
314;15;2025-05-30
110;9;2023-08-14
150;23;2024-03-01
415;26;2025-02-21
461;41;2025-01-06
186;50;2026-08-07
186;24;2025-02-28
447;4;2025-09-05
331;23;2025-09-14
469;19;2024-08-11
304;10;2023-08-11
179;33;2025-06-25
265;36;2025-07-08
70;43;2026-07-08
153;17;2025-08-02
106;34;2025-06-12
231;47;2026-10-11
282;30;2023-11-11
229;32;2023-06-26
121;35;2025-12-31
472;13;2023-04-23
351;24;2023-10-09
466;7;2024-07-22
61;9;2025-03-25
164;32;2024-12-10
381;27;2025-07-17
120;33;2025-10-03
35;20;2024-10-30
343;39;2026-03-05
179;28;2024-04-28
300;9;2023-10-15
304;34;2024-10-19
419;25;2024-11-25
427;46;2024-03-20
83;31;2025-08-30
363;23;2025-05-23
372;9;2024-08-05
300;26;2024-10-09
450;47;2024-12-19
112;49;2023-07-05
190;20;2024-04-13
288;4;2023-02-12
337;8;2024-02-23
316;41;2026-08-22
16;12;2025-02-18
441;25;2024-11-21
20;9;2023-06-30
102;39;2026-06-09
338;49;2026-12-13
70;44;2026-12-17
345;20;2023-02-17
393;39;2026-07-23
378;16;2025-04-19
103;5;2026-11-01
268;47;2024-05-28
206;22;2023-08-17
280;36;2024-12-06
447;21;2024-02-14
110;41;2026-11-15
245;16;2024-10-21
237;33;2026-07-10
106;30;2023-01-23
339;26;2024-01-01
356;36;2026-04-26
75;9;2023-12-04
74;47;2023-05-15
133;1;2023-10-19
311;23;2023-01-08
203;16;2023-01-04
246;3;2024-05-23
322;23;2025-12-03
468;19;2026-01-09
77;16;2023-04-27
305;31;2026-03-13
362;21;2024-12-16
344;25;2023-12-24
254;10;2023-08-15
240;31;2026-09-15
207;12;2023-07-06
413;50;2024-09-22
295;6;2026-03-04
460;34;2023-05-13
153;11;2025-10-06
127;29;2025-04-04
317;18;2024-06-13
188;5;2024-08-06
223;48;2026-04-01
154;15;2026-10-03
37;18;2026-07-16
129;47;2026-04-17
449;24;2024-09-06
450;7;2025-01-12
404;29;2024-09-25
100;15;2025-10-11
482;34;2023-04-16
377;41;2025-03-13
120;28;2025-02-20
313;40;2023-10-30
464;47;2024-04-07
388;2;2023-04-03
395;30;2024-06-04
23;7;2025-09-28
453;26;2024-01-19
86;40;2023-04-04
63;41;2025-04-22
178;46;2023-06-24
475;19;2025-07-18
54;46;2026-06-05
378;45;2026-09-09
127;6;2025-05-08
133;22;2023-06-07
482;11;2026-05-23
252;18;2024-11-15
484;46;2025-02-23
291;47;2025-06-15
117;30;2024-02-24
345;39;2024-03-25
409;25;2025-04-23
247;43;2023-06-14
341;45;2024-02-14
33;32;2025-08-17
11;5;2023-07-11
425;36;2023-01-13
382;27;2026-05-21
284;1;2024-09-16
170;2;2026-06-14
204;6;2023-12-23
187;44;2024-03-04
105;36;2023-02-14
260;21;2024-09-21
30;45;2024-02-28
381;50;2025-06-14
97;7;2023-09-08
310;19;2026-11-12
154;27;2023-03-11
170;9;2023-09-09
465;41;2025-06-08
464;9;2023-12-29
60;14;2023-10-26
87;35;2025-08-27
469;7;2024-05-10
256;41;2025-09-18
329;40;2025-01-15
471;22;2026-04-03
130;31;2023-04-05
109;12;2026-11-19
169;14;2026-03-07
193;37;2023-09-01
472;43;2024-04-03
200;18;2026-12-03
275;36;2025-03-05
237;19;2025-05-31
105;18;2025-02-21
215;24;2025-08-24
367;13;2026-09-19
197;32;2025-02-24
336;45;2023-01-21
142;13;2025-11-05
340;22;2023-12-04
35;30;2025-12-16
101;3;2025-03-27
227;43;2023-09-23
287;3;2026-10-24
462;33;2024-08-17
437;12;2023-06-28
128;40;2024-05-27
110;40;2026-03-24
190;11;2023-07-25
407;32;2026-05-17
230;25;2025-12-08
14;3;2023-10-25
403;31;2023-05-21
122;42;2026-11-28
191;41;2025-10-05
126;31;2026-07-17
267;34;2025-06-27
423;13;2025-11-11
153;44;2026-02-01
43;6;2023-04-27
418;50;2023-03-21
14;46;2023-11-21
152;34;2023-09-26
115;41;2023-07-24
182;18;2023-08-16
378;50;2023-04-19
444;9;2024-02-26
180;27;2024-12-01
29;12;2025-02-23
193;7;2025-07-22
227;27;2024-05-22
77;44;2023-07-30
351;31;2026-03-07
174;39;2026-01-03
38;13;2023-12-04
422;21;2025-10-25
171;5;2026-08-13
147;6;2023-10-07
68;46;2025-07-18
378;36;2026-06-16
473;45;2023-08-10
14;43;2025-09-07
3;32;2026-07-25
30;43;2023-06-16
36;9;2025-01-17
7;31;2024-12-27
81;1;2025-09-06
240;40;2024-08-12
157;50;2023-12-07
251;30;2025-08-07
350;23;2026-06-18
5;10;2026-02-12
1;15;2024-08-10
433;36;2026-08-16
420;1;2023-06-01
295;27;2025-10-27
245;36;2023-11-24
83;35;2023-10-17
132;24;2023-09-08
409;13;2026-10-26
363;14;2023-05-23
93;15;2026-10-22
261;39;2026-01-31
181;14;2024-09-08
456;6;2024-02-20
38;6;2026-07-16
61;44;2023-06-23
245;17;2026-12-26
470;44;2025-05-06
489;45;2023-11-18
344;14;2026-06-02
216;2;2026-11-14
151;41;2025-12-08
29;36;2024-02-21
99;42;2024-10-12
333;22;2023-08-30
254;3;2023-01-18
401;37;2023-02-24
358;26;2025-09-05
160;1;2025-12-17
104;41;2024-05-22
184;10;2024-08-14
148;12;2024-05-15
44;38;2024-08-17
92;32;2026-03-22
232;37;2026-07-09
20;47;2025-04-27
478;18;2026-04-26
191;16;2026-03-07
54;42;2025-09-12
11;18;2026-08-19
49;48;2026-07-26
311;20;2024-08-19
220;7;2023-05-31
295;47;2023-10-12
179;17;2026-12-22
404;13;2023-02-23
414;31;2023-01-19
11;16;2024-01-15
384;3;2026-10-07
251;8;2023-07-06
365;2;2025-03-01
354;32;2026-01-05
468;16;2023-02-01
356;4;2024-08-14
309;36;2023-02-28
204;34;2025-07-14
288;7;2023-01-23
220;18;2023-07-05
200;7;2026-10-26
357;5;2023-07-23
20;28;2024-02-27
272;4;2026-03-12
175;40;2023-06-28
439;40;2026-08-05
14;44;2026-04-21
350;21;2024-03-27
152;7;2026-04-19
223;50;2025-10-15
433;44;2023-02-28
411;28;2025-04-28
220;49;2023-12-07
500;19;2026-10-29
444;24;2023-06-14
313;1;2024-05-31
451;3;2025-08-01
343;47;2025-10-03
370;18;2024-03-08
349;34;2023-11-15
298;24;2025-08-16
443;31;2026-10-16
415;50;2023-02-09
290;22;2024-05-18
479;49;2023-10-15
202;17;2024-01-30
335;6;2023-03-08
120;46;2024-04-12
41;43;2026-06-11
290;30;2025-09-26
266;35;2026-09-28
267;12;2024-02-14
437;2;2023-01-28
336;18;2024-07-03
330;36;2024-06-21
152;1;2023-10-22
230;4;2025-05-10
235;16;2023-12-13
274;29;2023-07-07
191;44;2024-08-05
433;42;2026-07-18
23;3;2023-02-18
394;32;2024-03-03
105;34;2025-02-19
442;27;2026-07-02
408;40;2024-05-13
235;25;2024-11-11
141;40;2023-02-01
3;34;2023-08-06
492;22;2023-02-14
12;28;2025-10-31
383;11;2023-03-17
270;10;2026-03-29
140;1;2025-02-17
427;14;2025-07-31
347;12;2025-07-02
194;24;2023-07-31
371;6;2026-04-23
247;39;2025-11-27
105;14;2024-12-28
471;3;2026-03-26
328;34;2023-04-17
414;16;2026-01-18
150;49;2026-12-02
400;24;2025-05-19
493;41;2024-05-30
55;9;2025-02-08
82;42;2025-03-10
396;4;2025-11-07
38;39;2026-04-16
193;45;2026-12-08
255;47;2024-09-10
75;19;2025-01-28
344;16;2023-07-31
115;44;2025-11-08
147;31;2024-01-01
251;41;2025-01-01
219;2;2026-09-20
53;43;2023-01-19
188;2;2025-01-04
278;32;2025-09-10
217;35;2023-03-01
416;36;2025-02-26
184;48;2024-01-24
154;47;2024-05-15
337;43;2023-06-07
172;34;2026-06-01
374;4;2023-07-14
78;45;2025-04-20
50;46;2025-09-26
277;18;2025-07-04
454;42;2025-03-26
405;15;2023-03-29
42;40;2023-11-17
183;6;2026-02-14
154;43;2024-05-27
294;20;2024-04-09
254;42;2025-07-07
467;45;2026-03-08
107;4;2023-07-20
315;18;2026-03-26
81;33;2025-08-01
73;30;2026-10-14
494;31;2026-01-21
301;12;2026-03-02
68;29;2024-07-24
202;27;2025-10-10
338;46;2025-10-08
412;33;2023-02-26
39;48;2024-08-12
120;21;2023-01-30
376;38;2026-11-05
151;45;2023-05-09
412;1;2026-03-12
181;32;2026-04-04
229;34;2023-01-03
169;32;2024-04-04
338;31;2026-08-19
449;7;2025-12-03
62;20;2023-07-21
412;7;2023-11-10
40;44;2024-06-17
5;7;2026-02-06
173;30;2026-04-19
162;13;2025-10-25
184;40;2026-07-24
77;15;2024-12-27
1;33;2024-09-27
318;31;2023-09-09
95;17;2025-10-04
57;23;2025-07-16
151;31;2025-09-09
17;8;2024-03-13
348;44;2025-10-14
92;10;2025-07-11
395;50;2024-11-26
323;29;2026-11-05
333;28;2024-09-28
117;27;2023-05-15
488;42;2026-07-29
155;38;2023-09-14
49;33;2026-09-19
162;9;2026-08-16
302;14;2025-03-22
363;11;2024-08-09
147;2;2025-07-20
282;32;2026-12-02
313;38;2025-04-01
305;26;2026-12-09
403;28;2025-06-28
235;39;2026-07-09
228;11;2024-05-16
289;16;2024-10-08
95;25;2026-08-16
66;29;2026-01-28
376;23;2024-06-19
194;41;2023-11-28
206;6;2025-12-17
480;30;2025-10-12
160;24;2024-10-11
166;27;2024-10-15
104;10;2023-06-11
62;44;2024-10-20
348;12;2023-05-15
184;39;2025-08-23
48;33;2025-07-29
255;20;2023-06-25
442;13;2023-04-13
283;39;2025-05-28
298;47;2026-04-03
387;45;2024-11-04
287;28;2023-08-31
150;15;2023-10-16
430;47;2024-01-29
418;25;2025-03-14
49;25;2025-06-22
26;30;2026-02-02
239;8;2025-12-26
287;2;2024-06-02
34;15;2024-10-17
18;8;2023-07-17
179;50;2024-10-13
27;9;2024-02-11
328;19;2023-11-06
215;41;2025-11-08
219;37;2024-09-01
112;4;2025-12-06
88;34;2026-08-14
168;41;2026-12-03
213;4;2023-12-20
144;27;2025-05-22
329;29;2023-04-01
447;35;2025-04-07
204;13;2025-07-08
85;38;2024-01-10
111;14;2023-10-13
347;49;2023-05-09
295;30;2023-09-03
6;11;2023-02-10
341;43;2025-02-21
244;8;2024-03-17
204;22;2023-10-17
65;5;2023-02-14
325;6;2025-10-07
383;39;2025-01-02
96;11;2026-01-21
326;1;2025-07-13
82;27;2026-01-03
402;28;2025-05-28
486;21;2023-09-16
82;41;2026-06-28
247;12;2025-09-02
326;31;2026-07-05
137;43;2024-09-12
405;30;2024-03-05
487;46;2025-05-12
446;17;2025-07-08
167;8;2024-09-22
104;40;2024-07-15
161;14;2024-01-25
280;4;2026-03-06
104;18;2023-01-08
